No.,Time,Source,Target,Length,Info,Payload
1432,101.806446,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1435,102.706478,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1436,103.608245,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1437,104.506539,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1438,105.407068,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1443,106.306287,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1444,107.207001,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1445,108.106672,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1446,109.007087,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1447,109.907296,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1450,110.809408,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1451,111.707201,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1452,112.608328,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1453,113.508396,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1454,114.407831,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
1457,115.307655,Sensor,Android,32,"Rcvd Handle Value Notification, Handle: 0x0011 (Unknown: Unknown)",0200221b00170004001b11000000010100000000000000000000000000000101
